articleID,headlines,userID,numUpvotes,numDownvotes
76,Has San Francisco 49ers QB Jimmy Garoppolo reshaped his NFL future?,user_20,81,42
77,AB to pursue legal action against Buccaneers,user_73,99,53
78,AB's lawyer calls Bucs release a 'surprise attack',user_57,92,76
79,Poles hired as GM of Bears after stint with Chiefs,user_84,14,22
80,"Saints' Payton steps away, unsure of what's next",user_15,57,11
81,Rodgers hints his decision likely by tag deadline,user_14,83,67
82,Bills coach will feel KC loss 'in my gut for years',user_28,42,39
83,All 8 USFL teams to play in Birmingham for 1st season,user_73,7,35
84,Source: Ravens nearing extension with Harbaugh,user_54,50,17
85,Sources: Adofo-Mensah favored to be Vikings GM,user_90,99,66
86,NFL names Torbert as Super Bowl lead referee,user_69,10,87
87,Ranking the top 50 NFL free agents: Who could be headed toward a big payday?,user_40,93,79
88,"32 NFL teams, 32 big free-agent decisions: Which players will return to their 2021 team?",user_22,11,16
89,Packers' leaders unified on wanting Rodgers back,user_51,91,88
90,Betting takeaways for NFL title games: 49ers thriving as underdogs,user_62,64,67
91,"McVay: Whitworth, Rapp look on track to return",user_24,70,92
92,Brady: Family will play big role in deciding future,user_30,67,87
93,"Arians: Bucs will be 'reloading,' not rebuilding",user_50,25,40
94,Williams uncertain for 49ers; Samuel sore but OK,user_91,49,15
95,Saints owner confirms Payton's future uncertain,user_55,46,54
96,"Source: Chiefs cut Gordon, still hope to keep him",user_32,10,63
97,Ex-Ravens coach Billick joins Edwards' ASU staff,user_29,100,89
98,"Rams, Chiefs combine for record night on MNF ",user_38,65,3
99,Barnwell: 10 takeaways and lessons from one of the best weekends of football ... ever,user_5,42,23
100,Source: Ravens fire Martindale in surprise move,user_48,4,70
101,Brady mum on future: 'Will just take it day by day',user_18,15,57
102,Ice in their veins: Clutch kickers come up big in NFL divisional round showdowns,user_7,11,28
103,"Bengals-Chiefs, 49ers-Rams: We've got early previews -- and overreactions -- for each conference title game",user_37,80,91
104,Mahomes heeds 'Grim Reaper' advice in wild win,user_14,63,63
105,"Chiefs, Rams open as favorites for title games",user_24,6,2
106,NFL Championship round betting first look: Immediate underdog value,user_17,40,5
107,"Rams outlast Bucs, Brady, seal title-game berth",user_7,85,50
108,Chiefs rally past Buffalo 42-36 in OT in wild playoff game,user_34,59,41
109,'Game of the year!!!' Social media reacts to Bills-Chiefs divisional-round OT thriller,user_91,17,47
110,"14 overtimes, one tie and too many variables: Why the NFL's OT format is under scrutiny",user_46,35,28
111,Chiefs S Mathieu (concussion) leaves OT victory,user_93,50,88
112,"Gay's 30-yard FG lifts Rams over Brady, Buccaneers 30-27",user_100,86,54
113,"Patrick Mahomes, Josh Allen on fire as Kansas City Chiefs, Buffalo Bills trade TDs",user_59,44,69
114,Sources: Brady to mull future before '22 decision,user_18,75,45
115,"Cooper Kupp, Matthew Stafford connect on long touchdown pass as Rams build lead",user_68,77,70
116,Game plan keys for Sunday's NFL divisional-round matchups: How each team could win,user_20,61,11
117,"NFL divisional-round guide: Picks, bold predictions and matchups to know for Sunday's games",user_38,24,56
118,Niners' divisional-round upset over Packers causes reactions across social media,user_71,61,88
119,Is this the way it ends for Aaron Rodgers? Why what-ifs and a 'beautiful mystery' linger in Green Bay,user_68,61,84
120,Bucs activate 'Playoff Lenny' in time to face Rams,user_100,64,95
121,"Rodgers faces 'tough decision,' nixes rebuild talk",user_28,89,49
122,'It is us': Bengals decry underdog label after win,user_34,78,41
123,"'Gritty' 49ers rally past Pack, into NFC title game",user_69,75,28
124,Gould's FG on final play gives 49ers 13-10 upset of Packers,user_24,51,4
125,"Brady, SB champs aim to avenge regular-season losses to Rams",user_21,73,60
126,Blocked punt by 49ers ties game with Packers late in the fourth quarter,user_38,87,28
127,McPherson FG as time expires lifts Bengals past Titans 19-16,user_62,29,85
128,Bills head to KC for AFC title game rematch against Chiefs,user_54,35,65
129,Packers LT Bakhtiari won't play Sat. vs. 49ers,user_41,92,20
130,A.J. Brown makes incredible one-handed TD catch as Titans tie Bengals,user_26,83,78
131,Butler retiring after 7 seasons as Steelers' DC,user_2,15,23
132,NFL shakes Chiefs' Hill with fine for pompom fun,user_17,61,93
133,NFL halts COVID testing for unvaccinated players ,user_52,71,78
134,Freezer burned? Jimmy G's inexperience in the cold might not mean bad things against the Packers,user_57,18,70
135,NFL divisional round: How to know what to avoid,user_63,31,39
136,Giants hire Bills executive Schoen to be new GM,user_83,79,86
137,"49ers' Bosa cleared, will play Sat. vs. Packers",user_31,58,14
138,Source: Panthers to hire McAdoo to run offense,user_10,95,19
139,Pair of Packers pass-rushers to return vs. 49ers,user_65,52,91
140,Familiar playoff foes face off again as Packers host 49ers,user_30,97,73
141,"Rams rule out LT Whitworth, S Rapp vs. Bucs",user_48,5,80
142,The unfiltered year of Aaron Rodgers,user_85,63,89
143,Top-seeded Titans face Bengals in AFC divisional playoff,user_10,19,29
144,"Despite arrest, Chiefs' Gay to play Sun. vs. Bills",user_78,77,72
145,"Jerry: Must fix problems during season, not after",user_48,83,23
146,How Buccaneers' Tom Brady finds ways to connect come playoff time,user_80,49,96
147,Source: Titans' Henry expected to start vs. Cincy,user_51,65,24
148,"Latest buzz on open NFL coach jobs: Dan Quinn's options, Chicago's plan and what we know about Jim Harbaugh",user_27,89,84
149,Sources: Cowboys' Gregory to have knee surgery,user_15,2,93
150,Source: Dak's comments about officials yield fine,user_69,74,64
151,NFL divisional betting nuggets: Jimmy Garoppolo is the NFL's best underdog,user_40,89,79
152,Manning-Brady 2.0? Why Patrick Mahomes vs. Josh Allen could be AFC's next great QB rivalry,user_6,69,75
153,The Playbook: Your ultimate fantasy football and props-betting guide for the divisional round,user_1,66,3
154,Chargers GM: No playoffs but 'lot to be proud of',user_69,62,65
155,Woman accused of defrauding ex-player fund ,user_86,11,70
156,AB says 'nothing wrong with my mental health',user_8,49,5
157,"Chiefs' Gay arrested, pleads not guilty to charge",user_18,12,7
158,"Garoppolo, Warner good to go; Bosa on track",user_57,29,63
159,"Cobb off IR, set to rejoin Packers for Niners tilt",user_68,72,18
160,The NFL's best head-coach hires of the past five years: Barnwell stacks the top 10,user_16,17,57
161,"NFL betting market watch: Lines move toward underdog Bills, favored Packers",user_33,32,90
162,Bengals sack leader Hendrickson cleared to play,user_19,85,71
163,Top moments from the San Francisco 49ers-Green Bay Packers rivalry,user_35,75,29
164,Bears' Graham among Salute to Service finalists,user_46,47,44
165,"Mayfield has surgery, eyes return to 'true self'",user_14,51,83
166,"2023 NFL draft prospects to know for college football's best teams: Bryce Young, Jalen Carter and more",user_45,5,38
167,Fantasy football: DFS best buys for NFL divisional round ,user_25,20,89
168,The upside-down life of the Tennessee Titans' All-Pro long-snapper,user_7,66,87
169,NFL asks Nevada court to dismiss Gruden lawsuit,user_87,16,25
170,NFL fines Bucs' Arians $50K for striking player,user_94,88,77
171,$150M bet with N.Y. sportsbooks in 1st weekend,user_41,73,97
172,Stafford: Toe won't be prohibitive against Bucs,user_61,88,76
173,Debuting Mel Kiper's first 2022 NFL mock draft: Expect quarterback surprises in Round 1 ,user_82,38,61
174,Packers' Jones: 'The time is now' for Super Bowl glory,user_87,55,42
175,San Francisco 49ers' Deebo Samuel created his own position: 'Wide back',user_17,96,2
176,McCarthy at ease on status: 'I know how to win',user_76,64,21
177,"Rudolph, Haskins relish chance to replace Big Ben",user_22,53,14
178,Titans' Henry passes test with contact practice,user_7,46,19
179,Final NFL rookie rankings: Micah Parsons leads our top 10 -- and only one QB makes the list,user_11,64,9
180,Old man and the NFC: Tom Brady is older than coaches he could face to reach the Super Bowl,user_88,42,39
181,"Bengals OC: Focus 100% on game, not interview",user_46,73,11
182,GM: Eagles expect Hurts to be QB starter in '22,user_71,99,44
183,Chiefs' Patrick Mahomes already preparing for his next job as team owner,user_10,78,7
184,Dak: 'Deeply regret' comments about officials,user_52,43,50
185,Are the Titans the NFL's worst No. 1 seed since 1983? Why they could be better than we think,user_91,16,77
186,Will the Houston Texans still trade QB Deshaun Watson? It's complicated,user_53,21,2
187,Shake-up in Seattle: Seahawks fire DC Norton,user_34,90,2
188,49ers' Garoppolo has 'slightly' sprained shoulder,user_43,97,36
189,Betting takeaways for NFL divisional round: Bills won't be afraid of the moment,user_74,96,100
190,Bears great Hampton gets probation in OVI case,user_52,35,77
191,Jaguars' McCray arrested after high-speed pursuit,user_53,33,59
192,"Bold Burrow, Bengals move on from 'a great win'",user_94,35,43
193,Tomlin: 'All options' on table for next Steelers QB,user_13,4,18
194,"Baker out of hospital, 'doing good' after collision",user_98,8,36
195,"Browns DT arrested, allegedly assaulted officer",user_6,24,5
196,"What's next for all six NFL playoff losers: Barnwell on the Patriots' problem, Cowboys' bad day, more",user_6,60,26
197,"Biggest offseason needs for all 32 NFL teams: QB questions, leadership voids and more",user_67,61,92
198,"NFL execs make 10 predictions for 2022: QB trades, coach surprises and more",user_59,16,43
199,Rams roll as Stafford nabs elusive 1st playoff win,user_100,59,95
200,Stafford propels Rams past Cardinals 34-11 in playoff rout,user_75,83,46
201,From Tom Brady to The Rock: The best ManningCast moments of the season ,user_14,75,54
202,"First look at the divisional round: Previewing all four matchups, every team's reason for optimism",user_88,8,86
203,"How Arizona Cardinals quarterback Kyler Murray adopted philosophies of his idol, Bruce Lee",user_3,87,46
204,Stephen Jones confident McCarthy will return,user_45,33,5
205,Watt's up: Cardinals DE off IR for Rams game,user_6,79,47
206,GM Mayock fired by Raiders after three seasons,user_31,93,25
207,"Bisaccia, Davis hold talks; Raiders' search begins",user_72,48,83
208,Alabama LB Harris says he's entering NFL draft,user_95,24,24
209,"Expecting 'great energy,' Rams activate S Weddle",user_18,26,93
210,Status for Bucs' Wirfs likely to go down to wire,user_73,22,93
211,Bengals lose DT Ogunjobi for rest of postseason,user_66,36,11
212,"Dak, McCarthy defend QB draw that ended game",user_57,75,34
213,Could the Cowboys fire Mike McCarthy? Will the Eagles add a QB? Judging wild-card weekend overreactions ,user_73,81,44
214,Eagles' Sirianni still feels 'good' about Hurts' year,user_35,3,78
215,Big Ben calls his career with Steelers 'an honor',user_85,69,80
216,"49ers add to rivalry lore, eke out 'wild' playoff win",user_97,41,78
217,Mahomes leads Chiefs to 42-21 wild-card romp over Steelers,user_58,32,18
218,Bengals' Taylor delivers a game ball to local bar,user_34,50,67
219,Travis Kelce's first career passing TD helps Chiefs dominate Steelers,user_45,27,87
220,"DE Bosa, LB Warner injured during 49ers' victory",user_95,6,19
221,"Brady throws for 2 TDs, SB champions dominate Eagles 31-15 ",user_45,16,10
222,49ers hang on over Cowboys 23-17 in chaotic wild-card finish,user_14,49,11
223,"What to know for Cardinals-Rams and the NFL wild-card round: Score picks, bold predictions, more",user_75,25,37
224,Game plan keys for the Cardinals-Rams wild-card matchup: How each team could win on Monday,user_13,15,41
225,San Francisco 49ers extend lead on Dallas Cowboys with spectacular Deebo Samuel TD,user_89,28,56
226,Source: Seahawks good to go with Carroll in '22,user_45,84,96
227,Star-studded Rams need championship ending to truly win Los Angeles' praise,user_81,94,94
228,Raiders back Bisaccia for HC: 'He's the right guy',user_26,94,90
229,Eagles' Sweat deals with 'life-threatening' issue,user_82,54,53
230,Ryan Fitzpatrick went shirtless in freezing temps at the Buffalo Bills game on Saturday,user_38,6,16
231,Boger crew likely won't ref again in postseason,user_63,16,29
232,Belichick not planning to stop as he enters 70s,user_94,41,78
233,"Bills decimate Pats, make history with 7 TD drives",user_29,7,15
234,"How to watch Cardinals vs. Rams on ESPN and ESPN+: Traditional call, ManningCast and more",user_71,62,97
235,Taylor: Playoff win a credit to Bengals' faith in me,user_72,71,59
236,"Allen-led Bills throttle division rival Patriots, 47-17",user_8,33,73
237, Bengals QB Joe Burrow draws attention with his fashionable frames,user_41,86,61
238,"Why not the Bengals? With Joe Burrow, a deep playoff run is possible",user_75,25,95
239,"Josh Allen, Dawson Knox produce fireworks for Buffalo Bills in freezing weather vs. Patriots",user_82,57,75
240,"Bengals hold on, finally win in playoffs, 26-19 over Raiders",user_76,84,54
241,Bengals QB Joe Burrow finds Tyler Boyd for TD just before stepping out of bounds,user_35,36,51
242,Rams S Rapp (concussion) ruled out vs. Cardinals,user_32,41,57
243,"Buccaneers activate LB David, RB Bernard",user_69,59,74
244,"Murray, Stafford seek first playoff wins when Cards visit LA",user_90,60,58
245,Steelers activate Smith-Schuster for Chiefs game,user_76,65,94
246,CB Armour-Davis latest from Bama to enter draft,user_93,93,89
247,"Ranking Kyler Murray's scramble, Jonathan Taylor's top speed and other amazing NFL highlights",user_67,93,62
248,Did Cooper Kupp just have one of the greatest WR seasons ... ever? Ranking the best since 1983,user_24,38,15
249,"Ex-NFL DT Siavii, 43, found dead in federal prison",user_8,11,85
250,The Playbook: Your ultimate fantasy football and props betting guide to wild-card weekend,user_36,84,21
251,"Georgia LB Dean, DL Walker, DB Cine enter draft",user_6,77,61
252,Flores interviews for Texans' coaching vacancy,user_88,72,36
253,"Bama WRs Bolden, Metchie to enter NFL draft",user_82,83,73
254,"Raiders, Bengals looking to end long playoff droughts",user_92,66,97
255,Bills' DE Hughes primed for 'slobber-knocker' against Pats,user_61,91,1
256,Steelers visit Chiefs with nothing-to-lose playoff attitude,user_72,86,34
257,"Bama's Williams, Kiper's top WR, enters draft",user_32,87,100
258,"Cowboys, 49ers meet again in postseason in wild-card round",user_39,95,63
259,"Brady, SB champions focused on Eagles, not personal success",user_18,46,17
260,"Patriots LT Wynn (ankle, hip) out vs. Bills",user_70,54,33
261,GM: Fired Culley put Texans in 'better position',user_71,13,60
262,Eagles RB Sanders to play 3 weeks after surgery,user_23,20,82
263,Edwards-Helaire out for Chiefs against Steelers,user_8,75,9
264,"Kupp, Adams among unanimous AP All-Pro picks",user_60,81,26
265,"Grayson, Jones out; Bucs hopeful for JPP, Barrett",user_81,38,44
266,Ben Roethlisberger's not done yet,user_80,65,45
267,Texans fire coach Culley after just one season,user_20,74,8
268,"Barnwell predicts the entire NFL playoff bracket: 13 games, one Super Bowl champion",user_99,54,71
269,Rimington Trophy winner Linderbaum enters draft,user_40,78,71
270,NFL wild-card betting nuggets: Tom Brady's history against the NFC East,user_42,93,87
271,Source: WR Cooper broke protocols at NBA game,user_49,49,40
272,"We asked 15 NFL analysts for one playoff prediction: Super Bowl contenders, upset picks, more",user_52,43,2
273,JuJu looks 'ready' for possible return from IR,user_24,71,14
274,Brothers Stefon and Trevon Diggs push each other to greater heights,user_92,36,29
275,Steadiness of Andy Reid righted the Kansas City Chiefs' season,user_81,16,42
276,"Stafford says toe OK, not feeling playoff pressure",user_52,53,6
277,Watt practices; undetermined if he'll play Monday,user_49,99,66
278,TE Waller: Sobriety battle made being idle harder,user_92,81,21
279,49ers expect star LT Williams back vs. Cowboys ,user_99,84,83
280,"NFL, organizers say Super Bowl staying at SoFi",user_80,65,69
281,Inside the chaos and weirdness of the 2021 Las Vegas Raiders season,user_23,92,90
282,Sources: Kiffin hires brother as Ole MIss co-DC,user_8,11,21
283,Brady on Foles SB snub: 'I try to be a good sport',user_62,10,6
284,Attorney to appeal Vegas ruling in Ruggs case,user_87,27,76
285,Mercilus makes surprise return to Pack practice,user_30,19,23
286,"NFL coaching carousel buzz: What we're hearing for each open job, including candidates to watch",user_95,31,50
287,Colts GM won't fully commit to Wentz for 2022,user_38,63,79
288,Cowboys keep VP McClay in fold with new deal,user_56,29,36
289,"Touted Tide linemen Neal, Mathis enter NFL draft",user_38,11,8
290,MNF leads the way as NFL TV ratings up 10%,user_67,6,76
291,Fantasy football: DFS best buys for wild-card weekend,user_79,92,96
292,First look at the full NFL playoff bracket: Reasons for optimism and concern for all 14 teams,user_91,35,31
293,Some top moments from the Patriots-Bills rivalry,user_44,19,53
294,"Ranking the 14 quarterbacks in the NFL playoffs: Strengths, weaknesses and what's at stake",user_69,81,4
295,What makes Eagles quarterback Jalen Hurts tick? 'He wants to be so perfect' ,user_33,6,62
296,Touted Utah LB Lloyd says he'll enter NFL draft,user_63,78,42
297,Cordarrelle Patterson sends message to Falcons' front office with custom cleats,user_66,95,41
298,Ex-Eagles coach Pederson interviews with Bears,user_79,84,11
299,NFL betting market watch: Pro bettors divided on 49ers-Cowboys,user_27,81,58
300,"Safety Weddle unretires, joins Rams for playoffs",user_60,4,55
301,How embracing 'the Patriot Way' turned into a career year for Matthew Judon,user_100,27,70
302,Irsay on Colts' collapse: 'Buck stops with me',user_9,77,16
303,Giants' 4-13 finish Mara's most embarrassing run,user_35,29,5
304,Kingsbury expects career-best game from Murray,user_82,69,52
305,Rodgers says toe should be 100% by next week,user_53,72,57
306,"Who were the NFL's best players this season? The highest-graded at every position, plus surprises and top rookies",user_12,8,77
307,Big Ben: Long odds vs. K.C. so let's 'have fun',user_84,96,25
308,Why San Francisco 49ers tackle Trent Williams and his blocks went viral,user_23,89,4
309,Suh can make extra $1M after Bucs rework deal,user_33,13,22
310,"Melo echoes LeBron, likes parallels to '20 Bucs",user_70,80,21
311,"Browns 'fully expect' Mayfield to be QB, rebound",user_67,40,87
312,Gettleman retires after 4 seasons as Giants GM,user_53,15,50
313,Giants fire coach Judge after just two seasons,user_62,46,37
314,Judge's ruling clears way for Broncos to be sold,user_28,2,63
315,Sources: Star Bama WR Williams has torn ACL,user_98,50,47
316,Cops: Geno Smith driving 96 mph before arrest,user_75,9,33
317,"Sherman hits IR again, ending season with Bucs",user_10,79,22
318,Mayfield tornado recovery gets boost from sports figures,user_96,38,58
319,"Sale leaves Giants, rejoins Napier as Gators OC",user_38,54,5
320,"Lions, Jets picked as Senior Bowl coaching staffs",user_50,41,1
321,"Gronk, Brady, Jones and other NFL players who cashed in (or fell short) with incentives",user_58,10,38
322,Beauty sleep: Tomlin 'dozed off' as team clinched,user_66,31,54
323,"2021 NFL pass-rushing, run-stopping, blocking leaderboard: Win rate rankings",user_69,73,30
324,Every NFL team's record against the spread and more,user_19,3,41
325,13 players to compete for NFL global program,user_70,98,86
326,49ers fans at SoFi caught Rams 'off guard' in loss ,user_83,51,11
327,Betting takeaways heading into the NFL playoffs: Are the Packers really the team to beat?,user_91,21,81
328,Alabama star WR Williams injures knee in 1st half,user_62,74,32
329,Free-agent RB Peterson wants to keep playing,user_49,68,90
330,Seahawks QB Smith arrested on suspicion of DUI,user_64,89,36
331,"Tide's Ekiyor, Owens playing in CFP title game",user_4,96,1
332,"Bears fire Nagy, GM Pace following 6-11 season",user_19,42,7
333,"Hall of Famer, Jets great Maynard dies at age 86",user_71,74,58
334,Game-worn Brady jersey sells for record $480K,user_56,69,36
335,Jets GM: Have to do better job this offseason,user_41,4,59
336,"Vikings overhaul regime, fire Zimmer, Spielman",user_78,19,35
337,Panthers have 'no intention' of trading McCaffrey,user_37,79,18
338,Packers LB Smith set to return for postseason,user_78,39,100
339,Arians: 'Travesty' if Brady doesn't win MVP award,user_99,18,63
340,"Cam wants to play in 2022, eyes 'winning' team",user_62,52,11
341,"Most common players on ESPN fantasy football champions: St. Brown, Kupp and Penny lead the way",user_61,74,80
342,Lynn out as Lions' OC after just one season,user_81,5,99
343,Dolphins fire Flores; Ross nixes Harbaugh talk,user_39,70,19
344,Opportunity-adjusted fantasy points against (OFPA): By position,user_82,37,56
345,Opportunity-adjusted fantasy points (OFP): 2021 leaderboard for TEs,user_83,81,58
346,"Ducks hire Jags DL coach Lupoi as DC, LB coach",user_56,68,8
347,New York Giants should go outside the family for next GM after Dave Gettleman debacle,user_67,13,22
348,Opportunity-adjusted fantasy points (OFP): 2021 leaderboard for WRs,user_79,16,53
349,Opportunity-adjusted fantasy points (OFP): 2021 leaderboard for RBs,user_71,30,30
350,Opportunity-adjusted fantasy points (OFP): 2021 leaderboard for QBs,user_44,3,11
351,NFL OTD leaderboard for 2021,user_26,16,80
352,Saints lose QB Hill to foot injury as season ends,user_75,92,38
353,"Lamar focused on getting healthy, not new deal",user_50,62,32
354,"That bonkers Chargers-Raiders ending, explained: Barnwell on the potential tie, a conspiracy and more",user_36,8,67
355,"2021 NFL season in review: What went wrong, what's next for non-playoff teams",user_70,45,54
356,Fantasy football's greatest unsung playoff heroes,user_98,80,22
357,2019-21 Consistency Ratings,user_97,84,32
358,2021 fantasy football consistency ratings,user_98,39,8
359,Gators cornerback Elam declares for NFL draft,user_5,79,11
360,"Fantasy football highs and lows for the NFL season: Cooper Kupp, Jonathan Taylor lead the way",user_55,92,66
361,Fantasy Football: What we learned from the 2021 season that applies to 2022,user_54,44,84
362,Staley: OT timeout was to bring in right personnel,user_30,67,96
363,"The NFL draft preview of Georgia-Alabama: Kiper, McShay and Reid answer 12 questions and give their picks",user_77,11,42
364,Busting myths for the 14 playoff teams: Does Brady have enough playmakers? Are the Bills too one-dimensional?,user_13,43,90
365,"Raiders make playoffs, boot Bolts in dramatic OT",user_16,61,97
366,Seahawks' Carroll expects to coach team in 2022,user_66,18,97
367,"Books sweat out Chargers-Raiders, rejoice result",user_78,60,33
368,"49ers pull off OT stunner vs. Rams, grab wild card",user_21,42,20
369,Colts in 'shock' after season ends in loss to Jags,user_90,40,6
370,Patriots QB Jones: 'Wasn't good enough' in defeat,user_1,19,24
371,"Roethlisberger, Steelers in playoffs after OT win",user_4,30,71
372,"Final NFL playoff picture: Raiders, Steelers claim last AFC spots",user_17,82,44
373,Steelers' Watt ties Strahan's NFL sacks record,user_16,89,51
374,"Bills take division, enter playoffs as No. 3 seed",user_86,61,92
375,Dolphins top Patriots 33-24 in regular-season finale,user_71,53,4
376,Bills clinch AFC East title with 27-10 win over Jets,user_65,36,76
377,"Safety Diggs breaks right fibula, dislocates ankle",user_47,40,98
378,"Vikings beat Bears 31-17; futures uncertain for Nagy, Zimmer",user_47,81,62
379,"Bucs beat Panthers 41-17, earn No. 2 playoff seeding in NFC",user_66,23,80
380,49ers clinch playoff berth by holding off Rams 27-24 in OT,user_24,8,67
381,Seahawks win 38-30 to spoil Cardinals shot at NFC West title,user_31,9,76
382,Saints miss wild-card spot despite 30-20 win over Falcons,user_85,26,55
383,Zimmer sidesteps questions on future with Vikes,user_6,92,53
384,Dolphins' Waddle sets rookie mark for receptions,user_50,68,76
385,NFL Week 18 fantasy football inactives watch: Who's in and who's out?,user_91,93,26
386,Jaguars clinch No. 1 pick despite upset over Colts ,user_40,95,58
387,Texans' Culley expects to return for 2nd season,user_14,87,41
388,Titans outlast Texans to claim No. 1 seed in AFC,user_58,71,91
389,Deebo Samuel fuels 49ers' third-quarter rally with TD pass and run vs. Rams,user_6,49,88
390,"Jaguars clown Colts 26-11, prevent Indy from making playoffs",user_17,25,33
